id_vuelo,aeropuerto_origen,aeropuerto_destino,hora_salida_programada,dia_semana,distancia_vuelo,condiciones_climaticas,congestion_aerea,tipo_avion,ocupacion_vuelo,temporada_alta,puerta_embarque,visibilidad,tiempo_estimado_vuelo
20651,BOG,MEX,15:45,Lunes,2700,Despejado,Media,Boeing 757,62.4,TRUE,42,21.1,231
12042,MDE,JFK,06:45,Jueves,3560,Despejado,Alta,Airbus A350,79.7,FALSE,45,17.8,310
18669,BRC,EZE,17:00,Sábado,1650,Nublado,Media,Boeing 737 MAX,55.2,FALSE,24,8.3,164
11115,MIA,BOG,07:30,Sábado,3160,Despejado,Media,Boeing 787,66.6,FALSE,19,7.1,266
23903,MDE,UIO,14:30,Miércoles,960,Nublado,Baja,Embraer E195,73.3,FALSE,30,18.8,104
21964,BGA,BOG,17:00,Sábado,310,Despejado,Media,Embraer E190,74.1,FALSE,46,25.9,65
21073,SCL,EZE,14:45,Viernes,1140,Tormenta,Baja,Boeing 757,70.5,FALSE,4,4.8,109
13003,BRC,EZE,08:15,Domingo,1650,Lluvia,Media,Embraer E195,57.1,FALSE,41,11.6,143
29772,MDE,BGA,05:45,Domingo,295,Lluvia,Alta,Embraer E190,54,FALSE,23,15.7,50
18116,UIO,EZE,15:30,Domingo,3900,Nublado,Baja,Boeing 777,40.7,TRUE,46,7.7,327
13526,LIM,GRU,05:45,Sábado,3620,Lluvia,Alta,Boeing 777,90,FALSE,17,18.3,313
17880,MDE,JFK,15:00,Lunes,3560,Despejado,Media,Boeing 787,69.8,TRUE,8,8.8,306
26442,MDE,CLO,00:15,Miércoles,265,Nublado,Media,Airbus A320,45.6,FALSE,13,27.1,48
26297,MDE,UIO,11:30,Viernes,960,Despejado,Media,Embraer E195,57.3,FALSE,21,18.3,114
22567,ROS,EZE,15:45,Jueves,295,Despejado,Baja,Airbus A320,51.1,TRUE,19,23.9,64
15253,BOG,PEI,07:45,Viernes,265,Despejado,Baja,Airbus A320,31.8,TRUE,16,20,68
29394,MAD,BOG,09:45,Martes,8680,Lluvia,Media,Airbus A350,75.4,FALSE,36,18.7,692
26797,EZE,COR,11:15,Martes,695,Tormenta,Alta,ATR 72,94.8,TRUE,23,2.9,85
18095,CLT,PTY,14:30,Miércoles,2890,Despejado,Alta,Boeing 757,85.2,TRUE,44,29,253
10323,MDE,PEI,07:45,Lunes,140,Nublado,Media,Boeing 737,87.5,TRUE,45,20.8,49
19924,AMS,GRU,13:15,Martes,9850,Nublado,Media,Boeing 787,70.2,TRUE,16,12.5,759
17460,BAQ,BOG,15:15,Sábado,145,Tormenta,Media,Boeing 737,70.4,TRUE,11,3.3,45
29025,GIG,GRU,09:30,Domingo,360,Lluvia,Alta,ATR 72,73.4,FALSE,30,22.9,65
27554,GIG,GRU,02:45,Miércoles,360,Nublado,Baja,Boeing 737,84.8,FALSE,46,22.3,51
19120,EZE,GIG,12:00,Domingo,1970,Niebla,Baja,Boeing 737 MAX,93,TRUE,28,0.2,194
26422,BOG,JFK,13:15,Martes,3930,Nublado,Alta,Airbus A350,74,TRUE,38,14.7,338
26061,ROS,EZE,06:30,Domingo,295,Nublado,Baja,Boeing 737,41.7,TRUE,14,6.9,53
20121,GRU,BOG,15:30,Viernes,3940,Lluvia,Alta,Boeing 787,98.6,FALSE,49,22,334
29056,JFK,GRU,16:15,Lunes,7680,Despejado,Alta,Airbus A350,38.8,FALSE,30,25.9,605
13650,MDE,CTG,07:00,Sábado,365,Lluvia,Baja,Airbus A320,87.4,FALSE,46,10.7,60
13942,EZE,AEP,07:00,Lunes,35,Lluvia,Media,ATR 72,36.6,FALSE,11,16.9,51
27881,PTY,SJO,12:15,Domingo,580,Despejado,Media,Embraer E190,61.2,TRUE,31,19.7,66
26676,MDE,PEI,10:45,Lunes,140,Despejado,Baja,ATR 72,90.3,FALSE,34,16.6,56
22631,EZE,NQN,17:45,Lunes,1150,Nublado,Baja,Boeing 737 MAX,86.4,TRUE,16,19.3,118
21444,BSB,GRU,15:15,Viernes,870,Despejado,Baja,Boeing 757,75,TRUE,23,12.4,86
22158,SSA,GRU,16:45,Viernes,1940,Despejado,Baja,Boeing 737 MAX,51.1,FALSE,23,14.1,165
23836,MEX,GRU,14:00,Lunes,7300,Despejado,Alta,Airbus A350,61.5,FALSE,31,26.1,582
13435,MVD,EZE,08:15,Martes,210,Despejado,Media,Boeing 737,67.8,FALSE,20,10.5,46
28740,BOG,LIM,10:00,Domingo,1890,Despejado,Media,Embraer E195,72.3,FALSE,36,20.4,164
27408,MIA,EZE,07:00,Jueves,7720,Niebla,Alta,Boeing 787,75.5,FALSE,2,1.2,604
25441,UIO,EZE,01:00,Martes,3900,Lluvia,Media,Airbus A330,88.4,FALSE,37,29.7,341
20407,MEX,PTY,18:00,Domingo,2280,Nublado,Alta,Boeing 737 MAX,81,TRUE,13,27.9,220
16518,EZE,GRU,09:15,Domingo,1760,Lluvia,Alta,Boeing 737 MAX,79.6,FALSE,42,21,172
10972,BAQ,BOG,10:45,Miércoles,145,Nublado,Media,Boeing 737,66.3,TRUE,9,20.8,38
26488,GRU,BOG,00:30,Domingo,3940,Nublado,Baja,Boeing 787,60.6,TRUE,24,20.4,337
29731,CCS,EZE,02:45,Sábado,4300,Despejado,Alta,Airbus A330,99.2,TRUE,7,21,369
23138,POA,GRU,13:30,Jueves,1110,Despejado,Media,Airbus A320neo,63.2,FALSE,15,14.3,111
13670,BAQ,MDE,06:15,Sábado,310,Lluvia,Baja,Airbus A320,65.1,FALSE,40,16.9,52
25984,BOG,MEX,04:15,Sábado,2700,Despejado,Baja,Airbus A320neo,66.5,FALSE,1,11.7,223
14059,MDE,CLO,09:00,Domingo,265,Despejado,Baja,Boeing 737,69.3,TRUE,45,20.6,57
24977,GRU,MVD,08:45,Viernes,1550,Despejado,Baja,Boeing 737 MAX,78.5,FALSE,21,19.5,137
25699,EZE,CCS,22:15,Jueves,4300,Niebla,Baja,Boeing 787,71.8,FALSE,36,0.6,343
23830,GRU,PTY,14:15,Sábado,4630,Nublado,Baja,Boeing 787,86.9,TRUE,34,20.3,375
23420,MAD,EZE,15:00,Viernes,10050,Despejado,Media,Airbus A350,68.6,FALSE,37,21.3,776
10961,EZE,AEP,08:00,Domingo,35,Despejado,Media,Boeing 737,90.3,FALSE,39,16.6,26
27745,EZE,MVD,00:15,Martes,210,Lluvia,Baja,Boeing 737,85.5,FALSE,20,17.2,41
19865,EZE,BOG,15:30,Miércoles,4650,Lluvia,Baja,Airbus A330,72.3,TRUE,46,20.2,385
21264,MDE,PEI,16:00,Domingo,140,Despejado,Media,Boeing 737,79.6,FALSE,10,11.7,57
25783,CTG,MDE,15:30,Sábado,365,Nublado,Baja,Boeing 737,46.8,FALSE,16,26.2,76
27197,BAQ,BOG,18:00,Viernes,145,Nublado,Baja,ATR 72,88.1,FALSE,12,7.6,40
