id_cliente,sexo,provincia,edad,ocupacion,cant_vuelos,clase_preferida,gasto_acumulado,gasto_acumulado_extra,programaMillas,cantidad_millas,ingreso_mensual,anticipacion_compra_promedio,canal_compra,cluster
2.0,F,Córdoba,49.0,Médico,16.0,Económica,2593.4,510.7,No,0.0,6252.0,30.0,App,0
3.0,M,Buenos Aires,41.0,Docente,10.0,Económica,2850.62,627.01,No,0.0,1593.0,16.0,App,0
4.0,F,São Paulo,19.0,Empleado,9.0,Económica,2749.41,540.22,No,0.0,862.0,47.0,Agencia,0
5.0,M,Rio Grande do Sul,31.0,Profesional independiente,16.0,Económica,5751.04,817.55,No,0.0,2927.0,26.0,Web,0
6.0,M,Salta,57.0,Empresario,26.0,Económica,6018.15,1195.78,No,0.0,3364.0,5.0,Agencia,0
7.0,M,Misiones,18.0,Empleado,9.0,Ejecutiva,4683.23,1155.78,No,0.0,837.0,22.0,Web,0
9.0,M,Rio Grande do Sul,53.0,Profesional independiente,11.0,Económica,2492.66,530.39,No,0.0,2718.0,2.0,Web,0
10.0,F,Buenos Aires,27.0,Ingeniero,5.0,Económica,832.8,45.84,No,0.0,3106.0,6.0,App,0
11.0,M,Córdoba,29.0,Comerciante,7.0,Económica,1773.39,96.82,No,0.0,1968.0,65.0,App,0
12.0,F,Valle del Cauca,36.0,Arquitecto,7.0,Ejecutiva,3640.7,364.12,No,0.0,4097.0,38.0,App,0
13.0,M,Paraná,55.0,Profesional independiente,21.0,Económica,5241.17,747.18,No,0.0,3712.0,8.0,App,0
14.0,M,Buenos Aires,30.0,Docente,21.0,Económica,1766.62,296.5,No,0.0,759.0,4.0,App,0
16.0,M,Misiones,32.0,Ejecutivo,78.0,Ejecutiva,53839.55,6429.71,No,0.0,7524.0,6.0,Agencia,1
18.0,F,Santa Fe,64.0,Jubilado,3.0,Económica,305.0,52.18,No,0.0,869.0,5.0,Web,0
19.0,F,Nariño,50.0,Ingeniero,12.0,Económica,1491.04,297.09,No,0.0,2776.0,26.0,Agencia,0
20.0,M,Colón,42.0,Profesional independiente,20.0,Ejecutiva,6017.06,596.36,No,0.0,598.0,22.0,Agencia,0
22.0,M,Córdoba,55.0,Comerciante,23.0,Ejecutiva,11064.99,638.53,No,0.0,857.0,34.0,Web,0
23.0,M,Tolima,26.0,Empleado,2.0,Económica,395.85,50.22,No,0.0,1749.0,2.0,Web,0
24.0,F,Salta,52.0,Profesional independiente,22.0,Económica,4749.13,804.78,No,0.0,1970.0,9.0,App,0
25.0,F,Minas Gerais,22.0,Otro,21.0,Económica,2176.83,321.59,No,0.0,1513.0,3.0,Web,0
26.0,F,CABA,30.0,Ingeniero,18.0,Económica,2180.32,308.4,No,0.0,3775.0,42.0,Web,0
27.0,F,Colón,48.0,Empleado,20.0,Económica,7644.36,586.0,No,0.0,3257.0,8.0,Web,0
28.0,M,Nariño,20.0,Estudiante,2.0,Económica,251.3,15.61,No,0.0,494.0,3.0,App,0
29.0,F,Paraná,36.0,Abogado,14.0,Ejecutiva,4183.1,981.62,No,0.0,7072.0,10.0,Agencia,0
30.0,F,Bolívar,27.0,Médico,26.0,Ejecutiva,10719.25,2020.61,No,0.0,7005.0,4.0,Web,0
32.0,M,Chaco,18.0,Estudiante,4.0,Económica,997.93,177.38,No,0.0,596.0,33.0,Web,0
33.0,M,Mendoza,18.0,Empleado,18.0,Económica,3103.49,773.57,No,0.0,1452.0,36.0,App,0
34.0,M,Santander,29.0,Ejecutivo,23.0,Ejecutiva,18636.81,1509.23,No,0.0,14587.0,5.0,Web,0
35.0,F,Minas Gerais,49.0,Médico,19.0,Económica,2404.13,428.24,No,0.0,4119.0,33.0,Web,0
37.0,F,CABA,38.0,Empresario,21.0,Primera clase,28021.38,5583.65,No,0.0,5817.0,11.0,Aeropuerto,1
38.0,M,Antioquia,46.0,Profesional independiente,10.0,Económica,1773.42,420.51,No,0.0,5734.0,25.0,Web,0
39.0,F,Tucumán,27.0,Profesional independiente,8.0,Ejecutiva,4640.04,371.23,No,0.0,1206.0,4.0,App,0
40.0,M,Paraná,41.0,Deportista,79.0,Económica,16785.48,827.14,No,0.0,300.0,10.0,App,0
42.0,M,Chaco,18.0,Estudiante,7.0,Económica,980.37,215.13,No,0.0,537.0,23.0,App,0
43.0,M,Pernambuco,33.0,Empresario,51.0,Económica,15324.88,3265.73,No,0.0,1787.0,17.0,Web,0
44.0,M,CABA,44.0,Empleado,20.0,Económica,3913.34,805.45,No,0.0,1115.0,26.0,App,0
46.0,F,Misiones,37.0,Médico,29.0,Ejecutiva,15760.45,2142.15,No,0.0,7721.0,66.0,Agencia,0
47.0,F,Córdoba,66.0,Jubilado,1.0,Económica,336.97,72.64,No,0.0,665.0,1.0,Agencia,0
48.0,F,Valle del Cauca,42.0,Ejecutivo,31.0,Económica,5335.98,1160.17,No,0.0,2645.0,0.0,Agencia,0
52.0,F,Santander,25.0,Otro,3.0,Económica,843.18,77.76,No,0.0,2099.0,11.0,Web,0
53.0,M,Panamá,58.0,Empleado,7.0,Ejecutiva,4105.45,788.6,No,0.0,848.0,2.0,Agencia,0
54.0,M,Córdoba,28.0,Ingeniero,4.0,Ejecutiva,1570.12,384.83,No,0.0,7496.0,10.0,Web,0
55.0,No binario,Tucumán,38.0,Empleado,18.0,Económica,2687.95,157.37,No,0.0,1583.0,5.0,Web,0
56.0,M,Atlántico,50.0,Otro,2.0,Económica,710.57,76.07,No,0.0,2158.0,72.0,App,0
59.0,M,Bolívar,55.0,Profesional independiente,13.0,Económica,3185.48,605.45,No,0.0,6493.0,5.0,App,0
60.0,F,Entre Ríos,50.0,Empresario,16.0,Económica,3721.98,640.35,No,0.0,3818.0,10.0,App,0
61.0,F,Los Santos,28.0,Médico,17.0,Económica,5859.79,403.43,No,0.0,3930.0,1.0,App,0
63.0,M,Veraguas,41.0,Empleado,7.0,Económica,1039.56,248.5,No,0.0,905.0,0.0,App,0
67.0,M,Colón,38.0,Docente,24.0,Económica,4170.22,1029.46,No,0.0,1288.0,28.0,Web,0
68.0,F,Valle del Cauca,35.0,Docente,20.0,Económica,2307.92,178.39,No,0.0,1391.0,4.0,App,0
69.0,F,Bahia,23.0,Estudiante,2.0,Ejecutiva,1112.59,57.81,No,0.0,300.0,21.0,App,0
71.0,M,Mendoza,43.0,Médico,14.0,Ejecutiva,8220.42,985.77,No,0.0,7129.0,11.0,App,0
74.0,M,São Paulo,24.0,Empleado,4.0,Económica,570.28,137.79,No,0.0,1688.0,121.0,Web,0
77.0,M,Cundinamarca,33.0,Médico,5.0,Económica,1037.73,210.45,No,0.0,5861.0,5.0,Web,0
78.0,F,Los Santos,36.0,Empleado,18.0,Económica,2760.17,361.35,No,0.0,2559.0,4.0,App,0
81.0,F,Córdoba,53.0,Empleado,18.0,Económica,5232.63,621.78,No,0.0,1298.0,9.0,App,0
82.0,F,Mendoza,29.0,Empleado,3.0,Económica,960.91,171.27,No,0.0,1647.0,3.0,App,0
83.0,F,Minas Gerais,57.0,Empleado,5.0,Económica,429.19,19.56,No,0.0,1003.0,7.0,App,0
84.0,M,CABA,47.0,Docente,22.0,Económica,2025.46,435.94,No,0.0,2140.0,9.0,Web,0
86.0,M,Paraná,24.0,Médico,20.0,Económica,1928.24,202.15,No,0.0,5180.0,22.0,Web,0
87.0,M,Misiones,29.0,Empleado,3.0,Económica,772.73,160.9,No,0.0,1294.0,23.0,App,0
88.0,M,Los Santos,23.0,Empleado,6.0,Económica,1195.53,260.04,No,0.0,1368.0,18.0,Web,0
