id_cliente,sexo,provincia,edad,ocupacion,cant_vuelos,clase_preferida,gasto_acumulado,gasto_acumulado_extra,programaMillas,cantidad_millas,ingreso_mensual,anticipacion_compra_promedio,canal_compra
15,M,Tucumán,32,Deportista,95,Ejecutiva,70152.57,9159.87,Sí,161409,15049,41,Agencia
16,M,Misiones,32,Ejecutivo,78,Ejecutiva,53839.55,6429.71,No,0,7524,6,Agencia
34,M,Santander,29,Ejecutivo,23,Ejecutiva,18636.81,1509.23,No,0,14587,5,Web
37,F,CABA,38,Empresario,21,Primera clase,28021.38,5583.65,No,0,5817,11,Aeropuerto
65,M,Los Santos,55,Ejecutivo,54,Ejecutiva,26627.35,3962.04,Sí,55747,4600,12,Web
70,F,Bolívar,40,Médico,16,Primera clase,31328.65,1444.7,Sí,49026,3834,9,Agencia
72,F,Pernambuco,28,Deportista,93,Económica,16854.99,1602.34,Sí,82228,2853,25,App
76,M,Colón,50,Médico,22,Primera clase,25836.81,1735.18,Sí,47170,8756,9,Agencia
113,M,Bolívar,29,Empresario,41,Económica,9715.0,1508.53,Sí,40554,2127,26,Web
114,M,Valle del Cauca,44,Empresario,45,Económica,13591.32,651.26,Sí,44767,19986,34,Agencia
119,M,Atlántico,61,Ejecutivo,25,Primera clase,60521.91,10501.72,No,0,6179,11,Web
135,F,Nariño,47,Empresario,44,Ejecutiva,25426.85,4455.65,Sí,61815,6486,13,Web
139,M,CABA,56,Ejecutivo,71,Ejecutiva,33055.92,3753.1,No,0,7745,0,Aeropuerto
143,M,Misiones,53,Empresario,40,Primera clase,47049.04,6333.05,No,0,10174,4,Agencia
144,F,Santa Fe,41,Ejecutivo,65,Económica,6289.78,883.76,Sí,61158,2642,16,App
171,F,Tucumán,25,Empresario,46,Económica,4199.68,440.01,Sí,52567,6441,41,App
188,M,Atlántico,26,Deportista,77,Ejecutiva,49131.53,5860.97,Sí,103851,3458,5,App
211,F,Cundinamarca,44,Empresario,19,Primera clase,44365.51,8567.72,Sí,39691,13726,0,Web
223,F,Chiriquí,35,Empresario,50,Ejecutiva,25885.32,3301.7,No,0,13053,1,Web
235,F,Tucumán,41,Ejecutivo,24,Ejecutiva,18436.0,2847.13,Sí,43254,3790,5,Aeropuerto
237,M,Atlántico,50,Ejecutivo,59,Económica,7431.68,1159.75,Sí,39158,3970,3,Web
238,F,Bolívar,35,Deportista,99,Ejecutiva,44244.08,7476.8,No,0,9961,6,Web
242,M,Valle del Cauca,41,Ejecutivo,41,Primera clase,43640.89,4949.67,No,0,7163,19,Web
243,F,Paraná,40,Empresario,41,Ejecutiva,15943.36,3138.33,No,0,14237,9,Web
247,F,CABA,45,Médico,21,Ejecutiva,7838.09,1442.02,Sí,46004,4334,7,App
252,F,Entre Ríos,48,Empresario,41,Ejecutiva,13175.62,2533.93,Sí,81673,4541,10,App
255,M,Antioquia,46,Deportista,90,Económica,18306.74,2491.59,Sí,55364,1920,8,Agencia
262,M,Santander,36,Deportista,80,Ejecutiva,60191.09,5648.98,Sí,116423,3657,27,Web
286,F,Tolima,29,Ejecutivo,23,Económica,7442.4,876.73,Sí,8276,8669,16,App
292,M,Veraguas,46,Ejecutivo,68,Primera clase,121355.09,11215.59,Sí,221921,5525,0,Aeropuerto
294,F,Mendoza,27,Ejecutivo,61,Ejecutiva,28505.0,2319.05,No,0,5381,9,App
297,F,Tolima,60,Empresario,12,Primera clase,16219.57,1652.4,Sí,24996,10785,8,Agencia
319,M,Bahia,37,Ejecutivo,20,Ejecutiva,16028.33,2837.9,Sí,44925,12170,7,Web
320,F,Buenos Aires,46,Profesional independiente,23,Primera clase,31669.51,1332.38,No,0,4467,41,App
361,F,Mendoza,33,Profesional independiente,2,Ejecutiva,1438.75,129.21,No,0,8512,15,Web
366,F,Bolívar,38,Empresario,22,Económica,3135.26,164.88,Sí,19722,23362,16,Web
369,F,Chaco,43,Empresario,53,Primera clase,103989.19,4186.96,No,0,4486,30,Web
390,F,Entre Ríos,29,Empresario,21,Ejecutiva,6613.8,341.45,No,0,9564,21,App
393,M,Panamá,36,Empresario,46,Ejecutiva,13380.57,1360.13,No,0,11019,9,Aeropuerto
394,M,Santa Fe,35,Ejecutivo,65,Ejecutiva,26784.92,2778.99,Sí,83390,5173,5,Web
397,F,Nariño,34,Deportista,66,Económica,19687.11,1054.86,No,0,54831,2,App
418,F,Misiones,36,Deportista,67,Económica,16894.66,1957.1,Sí,54250,1555,2,Web
419,F,Tucumán,31,Médico,11,Primera clase,26526.89,4591.32,No,0,5042,8,App
423,F,Córdoba,29,Deportista,89,Ejecutiva,47494.55,7998.08,Sí,99639,6319,11,Web
448,M,Antioquia,41,Ingeniero,14,Ejecutiva,5118.72,399.22,No,0,8645,4,App
