sexo,provincia,edad,ocupacion,cant_vuelos,clase_preferida,gasto_acumulado,programaMillas,cantidad_millas,ingreso_mensual,anticipacion_compra_promedio,canal_compra
M,Salta,24,Comerciante,21,Económica,5731.62,Sí,19113,1367,3,Agencia
F,Córdoba,49,Médico,16,Económica,2593.4,No,0,6252,30,App
M,Buenos Aires,41,Docente,10,Económica,2850.62,No,0,1593,16,App
F,São Paulo,19,Empleado,9,Económica,2749.41,No,0,862,47,Agencia
M,Rio Grande do Sul,31,Profesional independiente,16,Económica,5751.04,No,0,2927,26,Web
M,Salta,57,Empresario,26,Económica,6018.15,No,0,3364,5,Agencia
M,Misiones,18,Empleado,9,Ejecutiva,4683.23,No,0,837,22,Web
M,Bolívar,32,Empleado,4,Económica,544.74,Sí,2032,1327,19,App
M,Rio Grande do Sul,53,Profesional independiente,11,Económica,2492.66,No,0,2718,2,Web
F,Buenos Aires,27,Ingeniero,5,Económica,832.8,No,0,3106,6,App
M,Córdoba,29,Comerciante,7,Económica,1773.39,No,0,1968,65,App
F,Valle del Cauca,36,Arquitecto,7,Ejecutiva,3640.7,No,0,4097,38,App
M,Paraná,55,Profesional independiente,21,Económica,5241.17,No,0,3712,8,App
M,Buenos Aires,30,Docente,21,Económica,1766.62,No,0,759,4,App
M,Córdoba,64,Otro,13,Ejecutiva,8300.09,Sí,10794,1267,0,Web
F,Santa Fe,64,Jubilado,3,Económica,305.0,No,0,869,5,Web
F,Nariño,50,Ingeniero,12,Económica,1491.04,No,0,2776,26,Agencia
M,Colón,42,Profesional independiente,20,Ejecutiva,6017.06,No,0,598,22,Agencia
F,Veraguas,46,Docente,23,Económica,5153.23,Sí,15278,1395,6,App
M,Córdoba,55,Comerciante,23,Ejecutiva,11064.99,No,0,857,34,Web
M,Tolima,26,Empleado,2,Económica,395.85,No,0,1749,2,Web
F,Salta,52,Profesional independiente,22,Económica,4749.13,No,0,1970,9,App
